Age,Sex,Pclass,SibSp,Parch,Fare,Survived
22.0,1,3,1,0,7.25,0
38.0,0,1,1,0,71.28,1
26.0,0,3,0,0,7.92,1
35.0,0,1,1,0,53.1,1
35.0,1,3,0,0,8.05,0
28.0,1,3,0,0,8.46,0
54.0,1,1,0,0,51.86,0
2.0,1,3,3,1,21.08,0
27.0,0,3,0,2,11.13,1
14.0,0,2,1,0,30.07,1
4.0,0,3,1,1,16.7,1
58.0,0,1,0,0,26.55,1
20.0,1,3,0,0,8.05,0
39.0,1,3,1,5,31.28,0
14.0,0,3,0,0,7.85,0
55.0,0,2,0,0,16.0,1
2.0,1,3,4,1,29.12,0
28.0,1,2,0,0,13.0,1
31.0,0,3,1,0,18.0,0
28.0,0,3,0,0,7.22,1
35.0,1,2,0,0,26.0,0
34.0,1,2,0,0,13.0,1
15.0,0,3,0,0,8.03,1
28.0,1,1,0,0,35.5,1
8.0,0,3,3,1,21.08,0
38.0,0,3,1,5,31.39,1
28.0,1,3,0,0,7.22,0
19.0,1,1,3,2,263.0,0
28.0,0,3,0,0,7.88,1
28.0,1,3,0,0,7.9,0
40.0,1,1,0,0,27.72,0
28.0,0,1,1,0,146.52,1
28.0,0,3,0,0,7.75,1
66.0,1,2,0,0,10.5,0
28.0,1,1,1,0,82.17,0
42.0,1,1,1,0,52.0,0
28.0,1,3,0,0,7.23,1
21.0,1,3,0,0,8.05,0
18.0,0,3,2,0,18.0,0
14.0,0,3,1,0,11.24,1
40.0,0,3,1,0,9.48,0
27.0,0,2,1,0,21.0,0
28.0,1,3,0,0,7.9,0
3.0,0,2,1,2,41.58,1
19.0,0,3,0,0,7.88,1
28.0,1,3,0,0,8.05,0
28.0,1,3,1,0,15.5,0
28.0,0,3,0,0,7.75,1
28.0,1,3,2,0,21.68,0
18.0,0,3,1,0,17.8,0
7.0,1,3,4,1,39.69,0
21.0,1,3,0,0,7.8,0
49.0,0,1,1,0,76.73,1
29.0,0,2,1,0,26.0,1
65.0,1,1,0,1,61.98,0
28.0,1,1,0,0,35.5,1
21.0,0,2,0,0,10.5,1
28.5,1,3,0,0,7.23,0
5.0,0,2,1,2,27.75,1
11.0,1,3,5,2,46.9,0
22.0,1,3,0,0,7.23,0
38.0,0,1,0,0,80.0,1
45.0,1,1,1,0,83.48,0
4.0,1,3,3,2,27.9,0
28.0,1,1,0,0,27.72,0
28.0,1,3,1,1,15.25,1
29.0,0,2,0,0,10.5,1
19.0,1,3,0,0,8.16,0
17.0,0,3,4,2,7.92,1
26.0,1,3,2,0,8.66,0
32.0,1,2,0,0,10.5,0
16.0,0,3,5,2,46.9,0
21.0,1,2,0,0,73.5,0
26.0,1,3,1,0,14.45,0
32.0,1,3,0,0,56.5,1
25.0,1,3,0,0,7.65,0
28.0,1,3,0,0,7.9,0
28.0,1,3,0,0,8.05,0
0.8,1,2,0,2,29.0,1
30.0,0,3,0,0,12.48,1
22.0,1,3,0,0,9.0,0
29.0,1,3,0,0,9.5,1
28.0,0,3,0,0,7.79,1
28.0,1,1,0,0,47.1,0
17.0,0,2,0,0,10.5,1
33.0,0,3,3,0,15.85,1
16.0,1,3,1,3,34.38,0
28.0,1,3,0,0,8.05,0
23.0,0,1,3,2,263.0,1
24.0,1,3,0,0,8.05,0
29.0,1,3,0,0,8.05,0
20.0,1,3,0,0,7.85,0
46.0,1,1,1,0,61.18,0
26.0,1,3,1,2,20.58,0
59.0,1,3,0,0,7.25,0
28.0,1,3,0,0,8.05,0
71.0,1,1,0,0,34.65,0
23.0,1,1,0,1,63.36,1
34.0,0,2,0,1,23.0,1
34.0,1,2,1,0,26.0,0
28.0,0,3,0,0,7.9,0
28.0,1,3,0,0,7.9,0
21.0,1,1,0,1,77.29,0
33.0,1,3,0,0,8.65,0
37.0,1,3,2,0,7.92,0
28.0,1,3,0,0,7.9,0
21.0,0,3,0,0,7.65,1
28.0,1,3,0,0,7.78,1
38.0,1,3,0,0,7.9,0
28.0,0,3,1,0,24.15,1
47.0,1,1,0,0,52.0,0
14.5,0,3,1,0,14.45,0
22.0,1,3,0,0,8.05,0
20.0,0,3,1,0,9.82,0
17.0,0,3,0,0,14.46,0
21.0,1,3,0,0,7.92,0
70.5,1,3,0,0,7.75,0
29.0,1,2,1,0,21.0,0
24.0,1,1,0,1,247.52,0
2.0,0,3,4,2,31.28,0
21.0,1,2,2,0,73.5,0
28.0,1,3,0,0,8.05,0
32.5,1,2,1,0,30.07,0
32.5,0,2,0,0,13.0,1
54.0,1,1,0,1,77.29,0
12.0,1,3,1,0,11.24,1
28.0,1,3,0,0,7.75,0
24.0,1,3,0,0,7.14,1
28.0,0,3,1,1,22.36,1
45.0,1,3,0,0,6.98,0
33.0,1,3,0,0,7.9,0
20.0,1,3,0,0,7.05,0
47.0,0,3,1,0,14.5,0
29.0,0,2,1,0,26.0,1
25.0,1,2,0,0,13.0,0
23.0,1,2,0,0,15.05,0
19.0,0,1,0,2,26.28,1
37.0,1,1,1,0,53.1,0
16.0,1,3,0,0,9.22,0
24.0,1,1,0,0,79.2,0
28.0,0,3,0,2,15.25,0
22.0,0,3,0,0,7.75,1
24.0,0,3,1,0,15.85,1
19.0,1,3,0,0,6.75,0
18.0,1,2,0,0,11.5,0
19.0,1,2,1,1,36.75,0
27.0,1,3,0,0,7.8,1
9.0,0,3,2,2,34.38,0
36.5,1,2,0,2,26.0,0
42.0,1,2,0,0,13.0,0
51.0,1,2,0,0,12.52,0
22.0,0,1,1,0,66.6,1
55.5,1,3,0,0,8.05,0
40.5,1,3,0,2,14.5,0
28.0,1,3,0,0,7.31,0
51.0,1,1,0,1,61.38,0
16.0,0,3,0,0,7.73,1
30.0,1,3,0,0,8.05,0
28.0,1,3,0,0,8.66,0
28.0,1,3,8,2,69.55,0
44.0,1,3,0,1,16.1,0
40.0,0,2,0,0,15.75,1
26.0,1,3,0,0,7.78,0
17.0,1,3,0,0,8.66,0
1.0,1,3,4,1,39.69,0
9.0,1,3,0,2,20.52,1
28.0,0,1,0,1,55.0,1
45.0,0,3,1,4,27.9,0
28.0,1,1,0,0,25.92,0
28.0,1,3,0,0,56.5,0
61.0,1,1,0,0,33.5,0
4.0,1,3,4,1,29.12,0
1.0,0,3,1,1,11.13,1
21.0,1,3,0,0,7.92,0
56.0,1,1,0,0,30.7,0
18.0,1,3,1,1,7.85,0
28.0,1,3,3,1,25.47,0
50.0,0,1,0,0,28.71,0
30.0,1,2,0,0,13.0,0
36.0,1,3,0,0,0.0,0
28.0,0,3,8,2,69.55,0
28.0,1,2,0,0,15.05,0
9.0,1,3,4,2,31.39,0
1.0,1,2,2,1,39.0,1
4.0,0,3,0,2,22.02,1
28.0,1,1,0,0,50.0,0
28.0,0,3,1,0,15.5,1
45.0,1,1,0,0,26.55,1
40.0,1,3,1,1,15.5,0
36.0,1,3,0,0,7.9,0
32.0,0,2,0,0,13.0,1
19.0,1,2,0,0,13.0,0
19.0,0,3,1,0,7.85,1
3.0,1,2,1,1,26.0,1
44.0,0,1,0,0,27.72,1
58.0,0,1,0,0,146.52,1
